"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-23","9.84","0.11",,"0.0","0.0",,"65","54",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-24","12.75","1.41",,"0.0","0.0",,"71","62",,"    1",,"    1",,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-25","8.50","0.00",,"0.0","0.0",,"63","49",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-26","6.26","0.00",,"0.0","0.0",,"64","46",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-27","7.61","0.65",,"0.0","0.0",,"59","50",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-28","10.07","1.23",,"0.0","0.0",,"64","54",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-29","5.59","0.00",,"0.0","0.0",,"57","50",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-30","4.92","0.00",,"0.0","0.0",,"59","47",,"    1",,,,,,,,,,"    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-31","11.18","0.17",,"0.0","0.0",,"72","56",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-01","7.38","0.03",,"0.0","0.0",,"58","51",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-02","7.61","0.00",,"0.0","0.0",,"57","47",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-03","8.05","0.00",,"0.0","0.0",,"64","41",,,,,,,,,,,,,,,,,,,
